Estacion,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14
12027050,12/1/1983,2/1/1993,9/1/2000,1/1/2005,3/1/2006,10/1/2017,4/1/2019,7/1/2022,NA,NA,NA,NA,NA,NA
16017020,4/1/1976,3/1/1980,6/1/1982,4/1/1986,3/1/1990,8/1/1992,3/1/1996,6/1/2001,1/1/2005,7/1/2007,12/1/2008,4/1/2011,5/1/2015,6/1/2018
16047010,8/1/1977,11/1/1983,6/1/1990,2/1/1998,1/1/2001,11/1/2004,2/1/2013,11/1/2017,7/1/2020,NA,NA,NA,NA,NA
21017020,4/1/1976,3/1/1982,7/1/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21017040,4/1/1977,12/1/1992,5/1/2008,3/1/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21017050,3/1/1973,1/1/1985,11/1/1986,4/1/2000,2/1/2009,11/1/2011,11/1/2017,NA,NA,NA,NA,NA,NA,NA
21017060,6/1/1996,8/1/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21027010,2/1/1989,3/1/2009,8/1/2012,5/1/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21047010,6/1/1976,3/1/1982,1/1/1993,4/1/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21057020,2/1/1977,6/1/1986,12/1/1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21057040,5/1/1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21087100,6/1/1996,10/1/1999,12/1/2001,1/1/2006,9/1/2007,8/1/2009,3/1/2012,3/1/2016,4/1/2020,7/1/2021,NA,NA,NA,NA
21137010,11/1/1991,1/1/1996,2/1/1998,1/1/2001,11/1/2005,2/1/2010,6/1/2013,8/1/2020,NA,NA,NA,NA,NA,NA
21167050,7/1/1973,10/1/1978,5/1/1982,4/1/1986,12/1/1998,3/1/2006,5/1/2012,11/1/2022,NA,NA,NA,NA,NA,NA
21167090,12/1/1997,10/1/2000,3/1/2011,5/1/2014,2/1/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
21237010,5/1/1979,7/1/2001,5/1/2008,11/1/2009,1/1/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
22017010,7/1/2003,7/1/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22017030,12/1/1999,10/1/2001,3/1/2006,12/1/2009,7/1/2012,NA,NA,NA,NA,NA,NA,NA,NA,NA
22027020,2/1/1980,10/1/1999,4/1/2001,7/1/2009,6/1/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
22057090,5/1/1999,4/1/2001,1/1/2006,8/1/2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23057140,8/1/1984,12/1/1999,2/1/2006,2/1/2012,8/1/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA
23067060,9/1/2006,11/1/2015,7/1/2018,7/1/2020,4/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA
23077020,2/1/1987,12/1/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23087180,6/1/1988,1/1/1992,4/1/1999,3/1/2002,9/1/2008,7/1/2010,NA,NA,NA,NA,NA,NA,NA,NA
23087260,4/1/1998,10/1/2002,10/1/2007,6/1/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23087670,10/1/1996,4/1/1999,6/1/2004,11/1/2008,4/1/2015,8/1/2020,2/1/2024,NA,NA,NA,NA,NA,NA,NA
23087830,6/1/1996,9/1/1998,10/1/2001,3/1/2008,8/1/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA
23097030,12/1/1941,2/1/1944,5/1/2007,8/1/2016,12/1/2021,2/1/2024,NA,NA,NA,NA,NA,NA,NA,NA
23107030,4/1/1991,9/1/2007,10/1/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23197130,2/1/1973,11/1/1981,6/1/1985,9/1/1987,7/1/2001,5/1/2011,1/1/2016,11/1/2020,10/1/2024,NA,NA,NA,NA,NA
24017150,3/1/1969,6/1/1971,5/1/1980,8/1/1983,6/1/1992,2/1/1998,3/1/2003,3/1/2005,4/1/2009,4/1/2012,8/1/2014,11/1/2016,9/1/2020,6/1/2024
24017610,3/1/1965,7/1/1968,8/1/1975,7/1/1977,3/1/1985,5/1/1994,11/1/2008,5/1/2011,9/1/2013,3/1/2016,NA,NA,NA,NA
24027040,5/1/1996,2/1/2012,9/1/2017,10/1/2019,10/1/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
24027060,12/1/1982,2/1/1993,11/1/2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24037070,7/1/1968,6/1/1973,8/1/1977,1/1/1984,11/1/1995,8/1/1997,4/1/2001,4/1/2013,7/1/2017,4/1/2020,NA,NA,NA,NA
24037290,10/1/1972,4/1/1984,10/1/1985,10/1/1991,12/1/1993,12/1/1997,5/1/2001,12/1/2010,3/1/2013,11/1/2022,NA,NA,NA,NA
24040060,4/1/1977,11/1/1989,6/1/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25027490,3/1/1974,12/1/2010,2/1/2016,6/1/2020,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA
26027090,5/1/1971,9/1/1980,4/1/1990,1/1/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26027100,4/1/1972,4/1/1980,3/1/1988,5/1/1994,6/1/2011,3/1/2017,5/1/2023,NA,NA,NA,NA,NA,NA,NA
26027220,11/1/1972,12/1/1973,10/1/1988,8/1/1995,9/1/1996,5/1/2000,7/1/2001,7/1/2003,NA,NA,NA,NA,NA,NA
26077060,10/1/1966,7/1/1975,1/1/1977,2/1/1986,4/1/1999,3/1/2002,2/1/2008,NA,NA,NA,NA,NA,NA,NA
26087030,3/1/1971,8/1/1973,5/1/1980,5/1/1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26087100,4/1/1977,7/1/1980,9/1/1983,9/1/1985,3/1/1988,2/1/1992,NA,NA,NA,NA,NA,NA,NA,NA
26097040,6/1/1975,1/1/1977,7/1/1984,7/1/1987,3/1/1991,10/1/1992,11/1/2001,12/1/2006,12/1/2015,4/1/2017,NA,NA,NA,NA
26127040,6/1/1951,8/1/1958,6/1/1971,9/1/1975,7/1/1992,12/1/1999,8/1/2022,NA,NA,NA,NA,NA,NA,NA
26137120,4/1/1976,8/1/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26157080,7/1/1991,12/1/1993,6/1/1999,6/1/2005,4/1/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
